x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,Time
-0.035,-0.336,0.824,-0.059,-0.402,0.867,-0.09,-0.402,0.902,-0.07,-0.375,0.926,-0.07,-0.363,0.984,-0.125,-0.445,0.984,-0.113,-0.398,0.93,-0.109,-0.398,0.895,-0.043,-0.398,0.891,-0.059,-0.41,0.891,-0.098,-0.414,0.898,-0.082,-0.457,0.918,-0.082,-0.406,0.879,-0.117,-0.426,0.883,-0.113,-0.453,0.934,-0.082,-0.402,0.938,-0.063,-0.398,0.941,-0.047,-0.395,0.922,-0.055,-0.395,0.891,-0.047,-0.402,0.883,-0.035,-0.418,0.891,-0.047,-0.461,0.918,-0.074,-0.426,0.902,-0.109,-0.434,0.914,-0.094,-0.438,0.895,-0.102,-0.406,0.918,-0.109,-0.402,0.918,-0.094,-0.418,0.926,-0.102,-0.414,0.922,-0.098,-0.422,0.926,00:01.0
-0.059,-0.418,0.926,-0.043,-0.418,0.91,-0.078,-0.41,0.914,-0.082,-0.445,0.91,-0.074,-0.422,0.902,-0.098,-0.418,0.898,-0.117,-0.43,0.906,-0.133,-0.422,0.91,-0.137,-0.426,0.922,-0.148,-0.43,0.93,-0.133,-0.445,0.938,-0.121,-0.453,0.941,-0.125,-0.469,0.922,-0.102,-0.535,0.922,-0.105,-0.477,0.84,-0.113,-0.484,0.824,-0.117,-0.523,0.789,-0.102,-0.508,0.789,-0.098,-0.473,0.824,-0.047,-0.5,0.855,-0.043,-0.488,0.848,-0.059,-0.535,0.832,-0.027,-0.555,0.777,-0.008,-0.551,0.762,-0.008,-0.57,0.699,-0.012,-0.473,0.785,-0.086,-0.457,0.965,-0.027,-0.48,0.961,0.023,-0.422,0.941,0.035,-0.398,0.941,00:02.0
0.008,-0.406,0.965,-0.02,-0.348,0.969,0.012,-0.355,0.945,0.047,-0.332,0.988,0.047,-0.418,1.004,0.031,-0.402,0.977,0.031,-0.371,0.949,0.016,-0.367,0.953,0.012,-0.395,0.898,-0.023,-0.406,0.848,-0.027,-0.406,0.855,-0.023,-0.441,0.879,0.008,-0.477,0.91,0.0,-0.531,0.941,-0.004,-0.547,0.918,-0.004,-0.582,0.871,-0.012,-0.539,0.82,-0.055,-0.488,0.797,-0.035,-0.473,0.82,-0.016,-0.461,0.824,0.008,-0.453,0.867,0.004,-0.473,0.898,0.012,-0.488,0.914,-0.027,-0.512,0.895,-0.047,-0.5,0.832,-0.012,-0.453,0.832,0.043,-0.445,0.898,0.055,-0.523,0.957,0.004,-0.441,0.895,-0.07,-0.461,0.961,00:03.0
-0.031,-0.441,0.938,-0.047,-0.465,0.969,-0.035,-0.406,0.945,-0.066,-0.395,0.934,-0.078,-0.383,0.957,-0.078,-0.367,0.977,-0.043,-0.348,0.926,-0.023,-0.367,0.895,-0.02,-0.336,0.887,-0.031,-0.316,0.938,-0.094,-0.352,1.027,-0.098,-0.379,0.938,-0.047,-0.363,0.938,-0.066,-0.387,0.918,-0.145,-0.379,0.852,-0.172,-0.383,0.813,-0.129,-0.355,0.832,-0.125,-0.324,0.914,-0.133,-0.316,0.945,-0.105,-0.359,0.957,-0.082,-0.273,0.949,-0.082,-0.262,0.922,-0.113,-0.301,0.949,-0.102,-0.281,0.941,-0.145,-0.266,0.953,-0.172,-0.238,0.988,-0.195,-0.23,1.031,-0.164,-0.203,1.055,-0.113,-0.199,1.012,-0.09,-0.199,1.012,00:04.0
-0.094,-0.215,1.02,-0.078,-0.211,0.949,-0.086,-0.168,0.988,-0.137,-0.184,1.023,-0.141,-0.145,0.98,-0.121,-0.172,1.0,-0.105,-0.188,1.02,-0.117,-0.191,1.0,-0.117,-0.188,0.988,-0.129,-0.191,0.984,-0.137,-0.191,0.988,-0.121,-0.219,0.992,-0.109,-0.23,0.953,-0.086,-0.18,0.934,-0.129,-0.207,0.957,-0.113,-0.207,0.957,-0.121,-0.238,0.973,-0.141,-0.266,0.98,-0.172,-0.258,0.992,-0.176,-0.277,0.98,-0.223,-0.293,0.988,-0.242,-0.336,0.996,-0.246,-0.355,0.941,-0.238,-0.297,0.887,-0.23,-0.305,0.898,-0.184,-0.293,0.906,-0.152,-0.293,0.934,-0.113,-0.289,0.988,-0.086,-0.32,0.922,-0.148,-0.355,0.879,00:05.0
-0.141,-0.352,0.871,-0.148,-0.363,0.902,-0.137,-0.402,0.922,-0.117,-0.355,0.93,-0.195,-0.383,0.887,-0.172,-0.367,0.898,-0.164,-0.371,0.898,-0.16,-0.387,0.926,-0.172,-0.375,0.93,-0.18,-0.383,0.93,-0.18,-0.41,0.926,-0.199,-0.414,0.93,-0.188,-0.434,0.938,-0.172,-0.426,0.891,-0.176,-0.375,0.852,-0.191,-0.355,0.879,-0.152,-0.363,0.883,-0.148,-0.383,0.91,-0.184,-0.379,0.91,-0.203,-0.395,0.898,-0.207,-0.398,0.887,-0.148,-0.375,0.922,-0.133,-0.371,0.953,-0.137,-0.414,0.984,-0.121,-0.391,0.953,-0.156,-0.398,0.934,-0.133,-0.41,0.898,-0.129,-0.375,0.914,-0.133,-0.387,0.906,-0.148,-0.395,0.895,00:06.0
-0.152,-0.402,0.875,-0.145,-0.422,0.867,-0.141,-0.418,0.867,-0.113,-0.422,0.883,-0.102,-0.441,0.902,-0.102,-0.449,0.902,-0.086,-0.426,0.898,-0.125,-0.434,0.902,-0.109,-0.438,0.902,-0.121,-0.43,0.895,-0.125,-0.422,0.879,-0.133,-0.43,0.891,-0.133,-0.449,0.875,-0.141,-0.43,0.887,-0.145,-0.477,0.859,-0.102,-0.434,0.824,-0.102,-0.445,0.859,-0.078,-0.449,0.887,-0.055,-0.422,0.898,-0.082,-0.426,0.93,-0.082,-0.422,0.93,-0.125,-0.41,0.93,-0.141,-0.418,0.93,-0.102,-0.438,0.93,-0.07,-0.422,0.922,-0.078,-0.41,0.914,-0.094,-0.406,0.902,-0.078,-0.414,0.898,-0.066,-0.441,0.906,-0.051,-0.426,0.887,00:07.0
-0.047,-0.406,0.883,-0.09,-0.414,0.914,-0.066,-0.406,0.934,-0.074,-0.422,0.961,-0.07,-0.422,0.938,-0.078,-0.418,0.906,-0.078,-0.43,0.898,-0.055,-0.422,0.898,-0.039,-0.43,0.898,-0.031,-0.434,0.902,-0.035,-0.453,0.887,-0.031,-0.422,0.879,-0.07,-0.43,0.891,-0.063,-0.445,0.898,-0.066,-0.449,0.902,-0.07,-0.441,0.902,-0.074,-0.457,0.879,-0.066,-0.473,0.863,-0.063,-0.453,0.863,-0.051,-0.445,0.883,-0.043,-0.461,0.879,-0.031,-0.418,0.859,-0.059,-0.402,0.844,-0.094,-0.434,0.863,-0.102,-0.398,0.879,-0.121,-0.383,0.926,-0.117,-0.398,0.938,-0.117,-0.387,0.941,-0.121,-0.383,0.965,-0.098,-0.391,0.969,00:08.0
-0.105,-0.379,0.977,-0.094,-0.391,0.969,-0.094,-0.359,0.938,-0.113,-0.34,0.988,-0.133,-0.348,1.016,-0.133,-0.348,0.969,-0.137,-0.355,1.012,-0.125,-0.355,1.027,-0.09,-0.266,0.887,-0.086,-0.219,0.828,-0.008,-0.293,0.902,-0.008,-0.379,0.977,-0.027,-0.449,0.906,-0.066,-0.418,0.805,-0.082,-0.391,0.773,-0.145,-0.344,0.816,-0.16,-0.363,0.961,-0.137,-0.375,0.98,-0.168,-0.387,0.957,-0.172,-0.395,1.07,-0.148,-0.449,1.066,-0.082,-0.418,0.945,-0.16,-0.336,0.961,-0.109,-0.34,0.945,-0.047,-0.441,0.906,-0.082,-0.398,0.859,-0.098,-0.34,0.836,-0.109,-0.395,0.855,-0.098,-0.453,0.895,-0.113,-0.453,0.906,00:09.0
-0.133,-0.426,0.891,-0.109,-0.457,0.887,-0.102,-0.48,0.867,-0.086,-0.492,0.867,-0.098,-0.469,0.879,-0.082,-0.539,0.883,-0.07,-0.48,0.859,-0.105,-0.48,0.832,-0.109,-0.5,0.867,-0.09,-0.496,0.867,-0.094,-0.5,0.871,-0.105,-0.512,0.863,-0.102,-0.516,0.875,-0.078,-0.512,0.855,-0.066,-0.523,0.852,-0.055,-0.551,0.844,-0.063,-0.496,0.797,-0.098,-0.535,0.828,-0.07,-0.578,0.828,-0.055,-0.523,0.867,-0.016,-0.473,0.828,-0.039,-0.445,0.789,-0.188,-0.457,0.859,-0.137,-0.492,0.887,-0.07,-0.488,0.852,-0.078,-0.523,0.84,-0.125,-0.574,0.844,-0.141,-0.473,0.867,-0.121,-0.398,0.859,-0.141,-0.379,0.852,00:10.0
