Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,0,0,0,269,10,0,0,0
0,0,0,0,226,0,0,0,10
0,0,0,0,222,0,0,0,10
0,0,0,0,217,0,0,0,10
0,0,2,0,296,6,0,0,4
0,3,12,0,292,2,0,0,8
0,0,0,0,271,5,0,0,5
0,0,0,0,203,0,0,0,10
0,0,0,0,157,0,0,0,10
0,0,0,0,139,0,0,0,10
0,17,0,0,134,1,0,0,9
0,0,0,0,174,9,0,0,1
0,0,0,0,168,0,0,0,10
0,0,0,0,144,0,0,0,10
0,0,0,0,157,0,0,0,10
0,0,2,0,159,0,0,0,10
0,0,0,0,157,2,0,0,8
0,0,0,0,155,2,0,0,8
0,21,0,0,177,0,0,0,10
0,0,0,0,238,0,0,0,10
0,0,0,0,222,1,0,0,9
0,0,0,0,159,0,0,0,10
0,0,0,0,145,0,0,0,10
0,0,0,0,124,4,0,0,6
0,0,0,0,134,9,0,0,1
0,0,0,0,144,8,0,0,2
0,0,0,0,148,10,0,0,0
0,0,0,0,172,10,0,0,0
0,0,0,0,162,10,0,0,0
15,35,11,1,167,10,0,0,0
17,9,2,1,149,7,0,0,3
0,0,0,0,147,0,0,0,10
0,0,0,0,115,0,0,0,10
0,0,0,0,115,0,0,0,10
9,8,18,1,137,0,0,0,10
0,0,0,0,143,0,0,0,10
2,8,12,0,131,2,0,0,8
0,3,3,0,105,0,0,0,10
13,12,22,1,118,2,0,0,8
6,6,1,1,110,9,0,0,1
0,0,0,0,112,9,0,0,1
0,0,0,0,121,8,0,0,2
0,16,0,0,130,8,0,0,2
0,33,0,0,122,9,0,0,1
16,30,0,0,120,10,0,0,0
0,0,0,0,121,10,0,0,0
82,49,0,1,140,0,10,0,0
13,5,0,0,231,8,0,0,2
0,0,0,0,161,6,0,0,4
0,0,0,0,124,10,0,0,0
0,0,0,0,119,10,0,0,0
0,5,2,0,122,10,0,0,0
13,27,19,1,121,8,0,0,2
0,0,0,0,88,7,0,0,3
0,0,0,0,89,10,0,0,0
0,0,0,0,109,7,0,0,3
0,0,0,0,108,10,0,0,0
0,0,0,0,124,10,0,0,0
0,0,0,0,124,5,0,0,5
0,0,0,0,122,0,0,0,10
10,0,18,1,107,0,0,0,10
0,0,0,0,147,9,0,0,1
0,5,0,0,127,10,0,0,0
21,17,0,0,154,10,0,0,0
61,111,12,1,147,9,0,0,1
0,4,1,0,145,6,0,0,4
0,0,0,0,104,7,0,0,3
0,0,0,0,99,9,0,0,1
0,0,0,0,80,10,0,0,0
0,0,0,0,85,5,0,0,5
0,0,0,0,93,3,0,0,7
0,0,0,0,106,0,0,0,10
0,0,0,0,89,7,0,0,3
0,2,0,0,99,3,0,0,7
29,68,0,1,114,7,0,0,3
0,0,0,0,148,10,0,0,0
41,129,6,3,122,7,0,0,3
0,1,0,0,109,2,0,0,8
0,0,0,0,114,7,0,0,3
48,32,1,1,164,4,0,0,6
53,11,0,0,144,10,0,0,0
88,63,0,1,172,0,10,0,0
0,0,0,0,170,0,0,0,10
6,21,2,1,125,1,0,0,9
0,0,0,0,122,0,0,0,10
0,0,0,0,109,0,0,0,10
0,0,0,0,106,0,0,0,10
0,0,0,0,132,0,0,0,10
0,0,6,0,105,0,0,0,10
0,0,0,0,165,0,0,0,10
0,0,0,0,124,0,0,0,10
0,0,0,0,145,0,0,0,10
33,58,0,1,128,8,0,0,2
79,159,3,1,119,0,10,0,0
105,14,39,2,255,0,10,0,0
66,70,30,0,227,8,0,0,2
4,53,0,0,71,10,0,0,0
0,26,0,0,116,10,0,0,0
33,137,2,1,105,10,0,0,0
48,28,13,1,130,4,0,0,6
157,74,44,3,163,0,10,0,0
212,68,43,1,341,0,10,0,0
1,11,0,0,96,1,0,0,9
6,5,4,0,86,0,0,0,10
0,0,0,0,88,0,0,0,10
16,12,8,2,75,3,0,0,7
7,9,2,0,79,0,0,0,10
23,20,17,2,75,0,0,0,10
